Flight,Mode,Casualties,Circumstances,Country,Crew,Date,Ground,Latitude,Location,Longitude,Notes,Passengers,Phase,Reason,Total Dead,Type
Aeroflot Flight 217,Ilyushin Il-62,Extremely High,Bad Visibility by Day,Russia,10,13/10/1972,0,55.755826,Moscow - Russia,37.6173,No survivors,164,APR,Accident,174,COM
Aeroflot Flight 3352,Tupolev Tu-154,Extremely High,Bad Visibility by Night,Russia,5,11/10/1984,4,54.9666667,Omsk - Russia,73.3833333,Some survivors,169,LDG,Accident,178,COM
Aeroflot Flight 4227,Tupolev Tu-154B-2,Extremely High,Bad Visibility by Night,Kazakhstan,10,1890-07-08,0,43.255058,Almaty - Kazakhstan,76.912628,No survivors,156,ENR,Accident,166,COM
Aeroflot Flight 7425,,Extremely High,Bad Visibility by Night,,9,10/7/1985,0,42.1566667,Uchkuduk - Uzbekistan,63.5555556,No survivors,191,ENR,Accident,0,COM
Aeroflot/Moldovia (CCCP-65816),Tupolev Tu-134A(both),Extremely High,Bad Visibility by Night,Kazakhstan,13,11/8/1979,0,48.8125,,46.7636111,No survivors,165,ENR,Accident,178,COM
African Air (RA-26222),Antonov An-32B,Extremely High,Bad Visibility by Night,,0,8/1/1996,237,-4.3316667,Kinshasa - DR Congo,15.3138889,Some survivors,0,ICL,Accident,37,COM
Air France Flight 447,Airbus A330-203,Extremely High,Bad Visibility by Night,Sao Pedro,12,1/6/2009,0,3.065833,Atlantic Ocean - Sao Pedro,-30.561667,No survivors,216,ENR,Accident,228,COM
Air India Flight 182,Boeing 747-237B,Extremely High,Bad Visibility by Night,,22,23/6/1985,0,51.8968917,Atlantic Ocean - Cork - Ireland,-8.4863157,No survivors,307,ENR,Attack,329,INB
Air India Flight 855,,Extremely High,,India,23,1/1/1978,0,19.0759837,Arabian Sea - Mumbai - India,72.8776559,No survivors,190,ENR,Accident,213,COM
Air New Zealand Flight 901,McDonnell Douglas DC-10-30,,Bad Visibility by Night,Antarctica,20,28/11/1979,0,-77.5310559,,167.0757008,No survivors,237,ENR,Accident,257,COM
Alas Nacionales Flight 301,Boeing 757-225,Extremely High,Bad Visibility by Night,Dominican Republic,13,6/2/1996,0,19.7807686,Atlantic Ocean - Puerto Plata - Dominican Repu...,-70.6871091,No survivors,176,ENR,Accident,189,COM
Alia Royal Jordanian (JY-AEE),Boeing 707-321C,Extremely High,Bad Visibility by Night,,7,3/8/1975,0,30.6981676,Tamri - Morocco,-9.8208632,No survivors,181,ENR,Accident,188,COM
All Nippon Airways Flight 58 and,Boeing 727-281 and F-86 Sabre,Extremely High,Bad Visibility by Night,Japan,7,30/7/1971,0,39.6962875,Shizukuishi - Japan,140.9757756,One survivor,155,ENR,Accident,162,COM
American Airlines Flight 11,Boeing 767-223ER,Extremely High,,US,11,11/9/2001,1600,40.7143528,,-74.0059731,No survivors,81,ENR,Attack,1692,INH
American Airlines Flight 191,McDonnell Douglas DC-10-10,Extremely High,Bad Visibility by Night,US,13,25/5/1979,2,42.0333623,Des Plaines - Illinois - US,-87.8833991,No survivors,258,TOF,Accident,273,COM
American Airlines Flight 587,,Extremely High,Bad Visibility by Night,US,9,12/11/2001,5,40.5759385,Belle Harbor - New York - US,-73.8481906,No survivors,251,ENR,Accident,265,COM
American Airlines Flight 77,,Extremely High,Bad Visibility by Day,,6,11/9/2001,125,38.8799697,Arlington - Virginia - US,-77.1067698,No survivors,64,ENR,Attack,189,INH
American Airlines Flight 965,Boeing Tu-154M,Extremely High,Bad Visibility by Night,,8,20/12/1995,0,3.9,Buga - Colombia,-76.3,Some survivors,151,APR,Accident,159,COM
Arrow Air Flight 1285,,Extremely High,Bad Visibility by Night,Canada,8,12/12/1985,0,48.954408,Gander - NL. - Canada,-54.6103488,No survivors,248,ICL,Accident,256,COM
Avianca Flight 011,Boeing 747-283B,Extremely High,Bad Visibility by Night,Spain,181,27/11/1983,0,40.4167754,Madrid - Spain,-3.7037902,Some survivors,162,APR,Accident,181,COM
British Airways Flight 476 and,Hawker Siddeley Trident 3B and,Extremely High,Bad Visibility by Night,Croatia,14,10/9/1976,1,45.8839523,Vrbovec - Croatia,16.416766,No survivors,162,ENR,Accident,177,COM
Caspian Airlines Flight 7908,Tupolev Tu-154M,Extremely High,,,12,15/7/2009,0,36.266819,,50.003811,No survivors,156,ENR,Accident,168,COM
China Airlines Flight 140,,Extremely High,Bad Visibility by Night,Japan,15,26/4/1994,0,35.2903104,Komaki - Japan,136.9109515,Some survivors,249,APR,Accident,264,COM
China Airlines Flight 611,Boeing 747-209B,Extremely High,Bad Visibility by Night,China,19,25/5/2002,0,23.5025,Taiwan Strait - Penghu Islands - China,119.5052778,No survivors,206,ENR,Accident,225,COM
