delivery_id,order_id,dispatch_date,promised_date,delivered_date,carrier,service_level,delivery_status,delay_days,on_time_in_full,fulfilment_hours,delivery_cost,delay_reason,promised_days,tracking_event_count,delivery_window,shipping_distance_km,signature_required,estimated_carbon_kg,delivery_note_clean
HDEL000001,HORD000001,2018-11-14,2018-11-19,2018-11-18,DHL,Standard,Delivered,0,True,41,7.07,none,5,4,Anytime,3.0357,True,0.412,delivered within promise
HDEL000002,HORD000002,2018-04-21,2018-04-27,2018-04-25,AusPost,Standard,Delivered,0,True,29,10.61,none,6,7,Anytime,7.278,True,0.619,delivered within promise
HDEL000003,HORD000003,2018-03-10,2018-03-13,2018-03-12,Direct Freight,Standard,Delivered,0,True,49,8.57,none,3,5,Anytime,3.2972,True,0.963,delivered within promise
HDEL000004,HORD000004,2018-01-31,2018-02-06,2018-02-06,StarTrack,Standard,Delivered,0,True,26,10.79,none,6,6,Anytime,6.6691,False,0.391,delivered within promise
HDEL000005,HORD000005,2018-03-11,2018-03-15,2018-03-13,StarTrack,Standard,Delivered,0,True,11,10.68,none,4,5,Morning,7.0002,True,0.866,delivered within promise
HDEL000006,HORD000006,2018-04-22,2018-04-26,2018-04-25,DHL,Express,Delivered,0,True,12,20.4,none,4,5,Anytime,9.4205,False,0.61,delivered within promise
HDEL000007,HORD000007,2018-03-29,2018-04-02,2018-04-01,AusPost,Standard,Delivered,0,True,26,6.93,none,4,6,Afternoon,1.7795,True,0.424,delivered within promise
HDEL000008,HORD000008,2018-03-17,2018-03-21,2018-03-21,AusPost,Express,Delivered,0,True,68,17.5,none,4,4,Anytime,4.9929,True,0.372,delivered within promise
HDEL000009,HORD000009,2018-06-27,2018-07-01,2018-07-01,StarTrack,Standard,Delivered,0,True,10,10.95,none,4,5,Morning,3.4859,True,0.492,delivered within promise
HDEL000010,HORD000010,2018-11-15,2018-11-20,2018-11-18,Direct Freight,Standard,Delivered,0,True,42,7.53,none,5,5,Morning,5.2439,True,1.337,delivered within promise
HDEL000011,HORD000011,2018-06-16,2018-06-21,2018-06-20,DHL,Express,Delivered,0,True,3,24.8,none,5,5,Morning,6.7933,True,0.524,delivered within promise
HDEL000012,HORD000012,2018-01-09,2018-01-12,2018-01-11,DHL,Standard,Delivered,0,True,36,10.4,none,3,4,Anytime,6.6671,True,0.517,delivered within promise
HDEL000013,HORD000013,2018-07-25,2018-07-31,2018-07-31,Direct Freight,Standard,Delivered,0,True,49,8.33,none,6,5,Morning,2.018,True,0.323,delivered within promise
HDEL000014,HORD000014,2018-03-30,2018-04-03,2018-04-03,Direct Freight,Standard,Delivered,0,True,42,8.52,none,4,4,Anytime,4.3951,True,0.517,delivered within promise
HDEL000015,HORD000015,2018-08-22,2018-08-28,2018-08-31,DHL,Standard,Delivered,3,False,15,11.47,carrier_capacity,6,3,Afternoon,4.9022,True,0.593,carrier scan reconciled
HDEL000016,HORD000016,2018-07-25,2018-07-31,2018-07-29,Direct Freight,Standard,Delivered,0,True,36,8.41,none,6,7,Afternoon,3.0268,True,1.075,delivered within promise
HDEL000017,HORD000017,2018-03-18,2018-03-23,2018-03-23,StarTrack,Standard,Delivered,0,True,12,7.77,none,5,9,Anytime,4.2137,True,1.513,delivered within promise
HDEL000018,HORD000018,2018-03-22,2018-03-25,2018-03-25,Direct Freight,Standard,Delivered,0,True,36,10.79,none,3,5,Afternoon,9.4205,False,1.132,delivered within promise
HDEL000019,HORD000019,2018-10-19,2018-10-24,2018-10-22,StarTrack,Standard,Delivered,0,True,72,6.13,none,5,7,Afternoon,2.5527,False,0.288,delivered within promise
HDEL000020,HORD000020,2018-01-18,2018-01-25,2018-01-23,StarTrack,Standard,Delivered,0,True,2,11.72,none,7,5,Morning,6.944,False,0.371,delivered within promise
HDEL000021,HORD000021,2018-05-31,2018-06-05,2018-06-03,StarTrack,Standard,Delivered,0,True,50,6.59,none,5,5,Anytime,3.5762,True,0.444,delivered within promise
HDEL000022,HORD000022,2018-06-07,2018-06-12,2018-06-11,AusPost,Standard,Delivered,0,True,11,9.82,none,5,6,Afternoon,0.8411,True,0.357,delivered within promise
HDEL000023,HORD000023,2018-05-07,2018-05-13,2018-05-11,Direct Freight,Standard,Delivered,0,True,16,7.95,none,6,9,Morning,4.704,True,1.421,delivered within promise
HDEL000024,HORD000024,2018-12-20,2018-12-23,2018-12-23,StarTrack,Express,Delivered,0,True,70,14.4,none,3,3,Afternoon,4.9903,True,0.404,delivered within promise
HDEL000025,HORD000025,2018-12-19,2018-12-26,2018-12-26,DHL,Standard,Delivered,0,True,46,7.72,none,7,6,Anytime,5.1765,False,0.368,delivered within promise
HDEL000026,HORD000026,2018-09-12,2018-09-19,2018-09-18,AusPost,Standard,Delivered,0,True,65,8.13,none,7,9,Morning,6.4272,True,0.421,delivered within promise
HDEL000027,HORD000027,2018-12-29,2019-01-03,2019-01-01,AusPost,Standard,Delivered,0,True,55,10.75,none,5,6,Anytime,5.996,True,0.599,delivered within promise
HDEL000028,HORD000028,2018-02-22,2018-02-25,2018-02-24,DHL,Express,Delivered,0,True,59,16.42,none,3,8,Anytime,6.5503,False,0.423,delivered within promise
HDEL000029,HORD000029,2018-05-29,2018-06-03,2018-06-03,DHL,Standard,Delivered,0,True,25,6.88,none,5,3,Morning,1.5895,True,1.573,delivered within promise
HDEL000030,HORD000030,2018-09-10,2018-09-13,2018-09-13,AusPost,Standard,Delivered,0,True,18,8.89,none,3,4,Anytime,8.0606,False,0.403,delivered within promise
HDEL000031,HORD000031,2018-02-22,2018-02-25,2018-02-25,AusPost,Express,Delivered,0,True,5,15.06,none,3,4,Morning,3.5955,True,0.52,delivered within promise
HDEL000032,HORD000032,2018-03-15,2018-03-20,2018-03-18,DHL,Standard,Delivered,0,True,60,10.12,none,5,6,Morning,7.0323,True,0.488,delivered within promise
HDEL000033,HORD000033,2018-12-08,2018-12-15,2018-12-13,Direct Freight,Standard,Delivered,0,True,52,10.8,none,7,8,Morning,7.039,True,0.481,delivered within promise
HDEL000034,HORD000034,2018-09-30,2018-10-06,2018-10-06,Direct Freight,Express,Delivered,0,True,10,17.23,none,6,6,Morning,7.0002,False,0.394,delivered within promise
HDEL000035,HORD000035,2018-07-26,2018-07-31,2018-07-31,Direct Freight,Standard,Delivered,0,True,68,12.56,none,5,3,Morning,5.1023,True,0.498,delivered within promise
HDEL000036,HORD000036,2018-08-31,2018-09-05,2018-09-05,AusPost,Standard,Delivered,0,True,39,9.18,none,5,4,Anytime,3.1617,True,0.494,delivered within promise
HDEL000037,HORD000037,2018-10-30,2018-11-06,2018-11-04,StarTrack,Standard,Delivered,0,True,62,8.93,none,7,6,Afternoon,4.1548,True,0.414,delivered within promise
HDEL000038,HORD000038,2018-06-28,2018-07-04,2018-07-04,Direct Freight,Standard,Delivered,0,True,69,10.84,none,6,7,Anytime,2.4444,True,0.444,delivered within promise
HDEL000039,HORD000039,2018-11-10,2018-11-13,2018-11-13,Direct Freight,Standard,Delivered,0,True,31,9.45,none,3,6,Anytime,3.8216,True,0.303,delivered within promise
HDEL000040,HORD000040,2018-06-22,2018-06-25,2018-06-25,AusPost,Standard,Delivered,0,True,32,8.92,none,3,7,Anytime,3.4727,False,0.388,delivered within promise
HDEL000041,HORD000041,2018-01-20,2018-01-23,2018-01-21,AusPost,Standard,Delivered,0,True,58,7.07,none,3,6,Afternoon,1.5938,True,0.319,delivered within promise
HDEL000042,HORD000042,2018-08-20,2018-08-27,2018-08-27,AusPost,Standard,Delivered,0,True,23,10.57,none,7,8,Morning,5.5262,True,0.923,delivered within promise
HDEL000043,HORD000043,2018-02-18,2018-02-25,2018-02-24,AusPost,Standard,Delivered,0,True,25,6.28,none,7,7,Morning,2.2928,False,0.416,delivered within promise
HDEL000044,HORD000044,2018-11-01,2018-11-07,2018-11-05,Direct Freight,Standard,Delivered,0,True,66,7.81,none,6,9,Morning,2.9629,False,0.387,delivered within promise
HDEL000045,HORD000045,2018-05-27,2018-06-03,2018-06-03,Direct Freight,Standard,Delivered,0,True,56,6.46,none,7,4,Morning,1.0383,True,1.095,delivered within promise
HDEL000046,HORD000046,2018-10-08,2018-10-14,2018-10-14,DHL,Standard,Delivered,0,True,66,11.62,none,6,9,Afternoon,9.7141,True,0.551,delivered within promise
HDEL000047,HORD000047,2018-05-23,2018-05-26,2018-05-26,AusPost,Express,Delivered,0,True,14,18.22,none,3,4,Afternoon,7.8766,False,0.515,delivered within promise
HDEL000048,HORD000048,2018-09-17,2018-09-21,2018-09-21,DHL,Standard,Delivered,0,True,68,9.36,none,4,7,Afternoon,4.2248,False,0.38,delivered within promise
HDEL000049,HORD000049,2018-12-01,2018-12-07,2018-12-07,AusPost,Standard,Delivered,0,True,26,10.04,none,6,8,Morning,5.1961,False,0.352,delivered within promise
HDEL000050,HORD000050,2018-10-14,2018-10-19,2018-10-20,DHL,Express,Delivered,1,False,47,15.04,weather,5,6,Anytime,6.2684,True,0.581,carrier scan reconciled
HDEL000051,HORD000051,2018-07-06,2018-07-12,2018-07-11,DHL,Express,Delivered,0,True,46,23.34,none,6,7,Anytime,4.6463,True,0.579,delivered within promise
HDEL000052,HORD000052,2018-12-31,2019-01-06,2019-01-04,AusPost,Standard,Delivered,0,True,25,8.43,none,6,7,Anytime,6.2605,True,0.634,delivered within promise
HDEL000053,HORD000053,2018-02-15,2018-02-19,2018-02-17,StarTrack,Standard,Delivered,0,True,20,8.28,none,4,6,Afternoon,6.0108,True,0.516,delivered within promise
HDEL000054,HORD000054,2018-10-12,2018-10-16,2018-10-14,Direct Freight,Standard,Delivered,0,True,17,8.87,none,4,9,Afternoon,3.2634,False,0.382,delivered within promise
HDEL000055,HORD000055,2018-07-27,2018-07-30,2018-07-29,AusPost,Standard,Delivered,0,True,18,12.95,none,3,7,Anytime,5.6864,True,0.441,delivered within promise
HDEL000056,HORD000056,2018-09-26,2018-09-30,2018-09-28,AusPost,Standard,Delivered,0,True,25,6.84,none,4,9,Morning,1.7014,True,0.481,delivered within promise
HDEL000057,HORD000057,2018-11-15,2018-11-21,2018-11-21,DHL,Express,Delivered,0,True,28,15.67,none,6,3,Afternoon,2.5527,True,0.374,delivered within promise
HDEL000058,HORD000058,2018-05-18,2018-05-22,2018-05-20,DHL,Express,Delivered,0,True,38,17.0,none,4,7,Anytime,3.2192,True,0.502,delivered within promise
