order_item_id,order_id,product_id,quantity,unit_price,line_revenue
HITM0000001,HORD000001,PRD0837,1,1658.39,1658.39
HITM0000002,HORD000001,PRD0776,1,133.13,133.13
HITM0000003,HORD000001,PRD0180,1,256.4,256.4
HITM0000004,HORD000002,PRD0726,1,830.43,830.43
HITM0000005,HORD000002,PRD0626,2,362.78,725.56
HITM0000006,HORD000002,PRD0556,1,279.39,279.39
HITM0000007,HORD000002,PRD0421,2,2357.2,4714.4
HITM0000008,HORD000003,PRD0333,2,741.56,1483.12
HITM0000009,HORD000003,PRD0930,1,307.61,307.61
HITM0000010,HORD000003,PRD0754,2,588.75,1177.5
HITM0000011,HORD000003,PRD0480,1,79.31,79.31
HITM0000012,HORD000004,PRD0605,1,584.43,584.43
HITM0000013,HORD000005,PRD0050,2,409.65,819.3
HITM0000014,HORD000005,PRD0734,1,1461.44,1461.44
HITM0000015,HORD000006,PRD0813,1,372.89,372.89
HITM0000016,HORD000006,PRD0426,1,708.75,708.75
HITM0000017,HORD000006,PRD0907,1,60.75,60.75
HITM0000018,HORD000007,PRD0670,1,278.65,278.65
HITM0000019,HORD000007,PRD0120,1,249.64,249.64
HITM0000020,HORD000007,PRD0009,1,72.9,72.9
HITM0000021,HORD000007,PRD0701,1,2630.13,2630.13
HITM0000022,HORD000008,PRD0815,2,735.95,1471.9
HITM0000023,HORD000008,PRD0162,1,767.91,767.91
HITM0000024,HORD000009,PRD0143,2,689.45,1378.9
HITM0000025,HORD000009,PRD0561,1,1093.04,1093.04
HITM0000026,HORD000009,PRD0502,1,1155.49,1155.49
HITM0000027,HORD000010,PRD0478,1,1005.98,1005.98
HITM0000028,HORD000010,PRD0245,1,834.16,834.16
HITM0000029,HORD000010,PRD0546,2,180.12,360.24
HITM0000030,HORD000010,PRD0394,1,3192.43,3192.43
HITM0000031,HORD000010,PRD0131,2,1079.8,2159.6
HITM0000032,HORD000011,PRD0636,1,249.94,249.94
HITM0000033,HORD000011,PRD0050,1,409.65,409.65
HITM0000034,HORD000011,PRD0803,2,395.35,790.7
HITM0000035,HORD000011,PRD0116,1,182.09,182.09
HITM0000036,HORD000011,PRD0569,1,928.26,928.26
HITM0000037,HORD000012,PRD0220,2,261.65,523.3
HITM0000038,HORD000012,PRD0637,1,2406.77,2406.77
HITM0000039,HORD000012,PRD0595,1,126.92,126.92
HITM0000040,HORD000012,PRD0730,1,147.29,147.29
HITM0000041,HORD000013,PRD0658,1,899.02,899.02
HITM0000042,HORD000013,PRD0807,2,1028.5,2057.0
HITM0000043,HORD000013,PRD0740,1,235.84,235.84
HITM0000044,HORD000014,PRD0717,1,825.84,825.84
HITM0000045,HORD000014,PRD0298,1,727.39,727.39
HITM0000046,HORD000014,PRD0027,1,2295.22,2295.22
HITM0000047,HORD000015,PRD0821,1,1210.81,1210.81
HITM0000048,HORD000015,PRD0081,1,1775.5,1775.5
HITM0000049,HORD000015,PRD0960,1,17.08,17.08
HITM0000050,HORD000015,PRD0372,1,748.02,748.02
HITM0000051,HORD000015,PRD0906,1,755.23,755.23
HITM0000052,HORD000016,PRD0214,1,3361.08,3361.08
HITM0000053,HORD000016,PRD0120,2,249.64,499.28
HITM0000054,HORD000017,PRD0993,1,448.46,448.46
HITM0000055,HORD000017,PRD0184,1,1417.97,1417.97
HITM0000056,HORD000017,PRD0149,1,504.76,504.76
HITM0000057,HORD000017,PRD0645,1,295.19,295.19
HITM0000058,HORD000017,PRD0644,2,940.11,1880.22
HITM0000059,HORD000018,PRD0934,1,1797.41,1797.41
HITM0000060,HORD000019,PRD0998,1,544.17,544.17
HITM0000061,HORD000019,PRD0598,1,73.8,73.8
HITM0000062,HORD000019,PRD0110,1,392.12,392.12
HITM0000063,HORD000020,PRD0310,1,125.16,125.16
HITM0000064,HORD000021,PRD0598,2,73.8,147.6
HITM0000065,HORD000021,PRD0641,1,1767.13,1767.13
HITM0000066,HORD000021,PRD0390,2,408.91,817.82
HITM0000067,HORD000022,PRD0081,1,1775.5,1775.5
HITM0000068,HORD000022,PRD0876,1,844.64,844.64
HITM0000069,HORD000023,PRD0994,2,2727.51,5455.02
HITM0000070,HORD000023,PRD0893,1,792.02,792.02
HITM0000071,HORD000023,PRD0938,2,471.07,942.14
HITM0000072,HORD000023,PRD0984,1,3015.12,3015.12
HITM0000073,HORD000024,PRD0499,2,782.47,1564.94
HITM0000074,HORD000024,PRD0150,2,199.69,399.38
HITM0000075,HORD000024,PRD0348,1,312.21,312.21
HITM0000076,HORD000025,PRD0808,2,444.53,889.06
HITM0000077,HORD000025,PRD0573,1,850.28,850.28
HITM0000078,HORD000026,PRD0563,1,957.85,957.85
HITM0000079,HORD000026,PRD0285,1,929.48,929.48
HITM0000080,HORD000026,PRD0008,1,751.87,751.87
HITM0000081,HORD000027,PRD0627,1,931.65,931.65
HITM0000082,HORD000027,PRD0607,1,73.33,73.33
HITM0000083,HORD000027,PRD0106,2,203.27,406.54
HITM0000084,HORD000027,PRD0675,1,1138.38,1138.38
HITM0000085,HORD000028,PRD0835,1,482.69,482.69
HITM0000086,HORD000028,PRD0985,1,865.22,865.22
HITM0000087,HORD000029,PRD0554,1,2579.35,2579.35
HITM0000088,HORD000029,PRD0933,1,296.95,296.95
HITM0000089,HORD000029,PRD0184,1,1417.97,1417.97
HITM0000090,HORD000030,PRD0932,1,1326.04,1326.04
HITM0000091,HORD000031,PRD0821,2,1210.81,2421.62
HITM0000092,HORD000031,PRD0320,1,28.7,28.7
HITM0000093,HORD000031,PRD0189,1,815.73,815.73
HITM0000094,HORD000031,PRD0809,2,155.22,310.44
HITM0000095,HORD000031,PRD0036,1,115.89,115.89
HITM0000096,HORD000032,PRD0037,1,953.09,953.09
HITM0000097,HORD000032,PRD0922,1,1230.33,1230.33
HITM0000098,HORD000033,PRD0732,1,1724.37,1724.37
HITM0000099,HORD000033,PRD0523,1,837.7,837.7
HITM0000100,HORD000033,PRD0186,1,386.44,386.44
HITM0000101,HORD000033,PRD0650,1,46.68,46.68
HITM0000102,HORD000034,PRD0296,1,331.81,331.81
HITM0000103,HORD000034,PRD0558,1,399.27,399.27
HITM0000104,HORD000035,PRD0509,1,849.35,849.35
HITM0000105,HORD000035,PRD0422,1,1010.5,1010.5
HITM0000106,HORD000035,PRD0759,2,106.0,212.0
HITM0000107,HORD000035,PRD0116,1,182.09,182.09
HITM0000108,HORD000036,PRD0925,1,1091.53,1091.53
HITM0000109,HORD000036,PRD0841,1,1754.04,1754.04
HITM0000110,HORD000036,PRD0147,1,172.97,172.97
HITM0000111,HORD000036,PRD0428,1,353.32,353.32
HITM0000112,HORD000037,PRD0971,2,1081.7,2163.4
HITM0000113,HORD000037,PRD0322,1,326.02,326.02
HITM0000114,HORD000038,PRD0236,2,353.9,707.8
HITM0000115,HORD000038,PRD0372,2,748.02,1496.04
HITM0000116,HORD000038,PRD0749,1,285.2,285.2
HITM0000117,HORD000038,PRD0989,1,71.59,71.59
HITM0000118,HORD000038,PRD0256,2,42.53,85.06
HITM0000119,HORD000039,PRD0482,3,1441.83,4325.49
HITM0000120,HORD000039,PRD0808,1,444.53,444.53
HITM0000121,HORD000040,PRD0552,1,359.04,359.04
HITM0000122,HORD000040,PRD0598,2,73.8,147.6
HITM0000123,HORD000040,PRD0843,1,527.91,527.91
HITM0000124,HORD000040,PRD0715,1,636.68,636.68
HITM0000125,HORD000041,PRD0049,1,578.63,578.63
HITM0000126,HORD000041,PRD0662,1,1356.37,1356.37
HITM0000127,HORD000042,PRD0182,1,908.42,908.42
HITM0000128,HORD000042,PRD0580,1,50.37,50.37
HITM0000129,HORD000042,PRD0184,2,1417.97,2835.94
HITM0000130,HORD000042,PRD0185,1,925.9,925.9
HITM0000131,HORD000043,PRD0639,1,537.34,537.34
HITM0000132,HORD000043,PRD0847,1,553.63,553.63
HITM0000133,HORD000043,PRD0966,1,272.72,272.72
HITM0000134,HORD000044,PRD0116,1,182.09,182.09
HITM0000135,HORD000044,PRD0636,1,249.94,249.94
