order_id,source_system_record_id,customer_id,order_timestamp,sales_channel,payment_method,currency,nearest_warehouse,order_status,order_price,delivery_charges,coupon_code,coupon_discount,tax_amount,order_total,season,expedited_delivery,customer_lat,customer_long,device_type,referral_source,customer_note_clean,promo_code
HORD000001,SRC-050-H-000001,CUS00191,2018-11-12 19:33:00,Store,PayPal,AUD,Thompson,Completed,2047.92,9.72,NaN,5.0,186.17,1955.24,Spring,False,-37.839582,144.941232,Tablet,Organic,call before delivery,NaN
HORD000002,SRC-050-H-000002,CUS00096,2018-04-19 19:08:00,Mobile,Card,AUD,Bakers,Completed,6549.78,12.68,NaN,5.0,595.43,6234.97,Autumn,False,-37.751456,145.032275,Tablet,Organic,please leave at reception,NaN
HORD000003,SRC-050-H-000003,CUS00197,2018-03-08 20:08:00,Web,Card,AUD,Thompson,Completed,3047.54,9.57,NaN,5.0,277.05,2904.73,Autumn,False,-37.807921,144.910022,Mobile,Social,please leave at reception,NaN
HORD000004,SRC-050-H-000004,CUS00365,2018-01-30 20:39:00,Store,Gift Card,AUD,Bakers,Completed,584.43,12.67,NaN,0.0,53.13,597.1,Summer,False,-37.846756,145.055232,Desktop,Organic,please use minimal packaging,NaN
HORD000005,SRC-050-H-000005,CUS00248,2018-03-11 09:48:00,Store,Bank Transfer,AUD,Bakers,Completed,2280.74,12.46,NaN,0.0,207.34,2293.2,Autumn,False,-37.754002,145.031639,Mobile,Store,gift purchase for a family member,NaN
HORD000006,SRC-050-H-000006,CUS00144,2018-04-22 10:43:00,Mobile,PayPal,AUD,Bakers,Completed,1142.39,25.35,B3SAVE-15,25.0,103.85,882.14,Autumn,True,-37.874585,145.064657,Desktop,Referral,please leave at reception,B3SAVE-15
HORD000007,SRC-050-H-000007,CUS00065,2018-03-28 15:11:00,Web,Bank Transfer,AUD,Nickolson,Completed,3231.32,8.39,B3SAVE-16,15.0,293.76,2755.01,Autumn,False,-37.834592,144.970139,Tablet,Referral,please use minimal packaging,B3SAVE-16
HORD000008,SRC-050-H-000008,CUS00443,2018-03-14 09:49:00,Store,Bank Transfer,AUD,Bakers,Completed,2239.81,21.89,NaN,5.0,203.62,2149.71,Autumn,True,-37.781752,145.039407,Mobile,Organic,gift purchase for a family member,NaN
HORD000009,SRC-050-H-000009,CUS00105,2018-06-26 21:11:00,Store,Bank Transfer,AUD,Thompson,Completed,3627.43,12.96,NaN,0.0,329.77,3640.39,Winter,False,-37.823185,144.909682,Tablet,Store,no special instruction,NaN
HORD000010,SRC-050-H-000010,CUS00343,2018-11-13 15:28:00,Web,PayPal,AUD,Thompson,Completed,7552.41,11.33,NaN,0.0,686.58,7563.74,Spring,False,-37.767323,144.963443,Mobile,Social,gift purchase for a family member,NaN
HORD000011,SRC-050-H-000011,CUS00382,2018-06-16 16:54:00,Store,Gift Card,AUD,Thompson,Completed,2560.64,28.77,B3SAVE-20,15.0,232.79,2205.31,Winter,True,-37.751718,144.941868,Tablet,Store,no special instruction,B3SAVE-20
