mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-01,orders,order_id,,,,,,
MAP-orders-02,orders,source_system_record_id,,,,,,
MAP-orders-03,orders,customer_id,,,,,,
MAP-orders-04,orders,order_timestamp,,,,,,
MAP-orders-05,orders,sales_channel,,,,,,
MAP-orders-06,orders,payment_method,,,,,,
MAP-orders-07,orders,currency,,,,,,
MAP-orders-08,orders,nearest_warehouse,,,,,,
MAP-orders-09,orders,order_status,,,,,,
MAP-orders-10,orders,order_price,,,,,,
MAP-orders-11,orders,delivery_charges,,,,,,
MAP-orders-12,orders,coupon_code,,,,,,
MAP-orders-13,orders,coupon_discount,,,,,,
MAP-orders-14,orders,tax_amount,,,,,,
MAP-orders-15,orders,order_total,,,,,,
MAP-orders-16,orders,season,,,,,,
MAP-orders-17,orders,expedited_delivery,,,,,,
MAP-orders-18,orders,customer_lat,,,,,,
MAP-orders-19,orders,customer_long,,,,,,
MAP-orders-20,orders,device_type,,,,,,
MAP-orders-21,orders,referral_source,,,,,,
MAP-orders-22,orders,customer_note_clean,,,,,,
MAP-orders-23,orders,promo_code,,,,,,
MAP-order_items-01,order_items,order_item_id,,,,,,
MAP-order_items-02,order_items,order_id,,,,,,
MAP-order_items-03,order_items,product_id,,,,,,
MAP-order_items-04,order_items,quantity,,,,,,
MAP-order_items-05,order_items,unit_price,,,,,,
MAP-order_items-06,order_items,line_revenue,,,,,,
MAP-customers-01,customers,customer_id,,,,,,
MAP-customers-02,customers,signup_date,,,,,,
MAP-customers-03,customers,loyalty_tier,,,,,,
MAP-customers-04,customers,customer_segment,,,,,,
MAP-customers-05,customers,age_band,,,,,,
MAP-customers-06,customers,preferred_channel,,,,,,
MAP-customers-07,customers,home_suburb,,,,,,
MAP-customers-08,customers,prior_12m_orders,,,,,,
MAP-customers-09,customers,lifetime_value_before_period,,,,,,
MAP-customers-10,customers,marketing_consent,,,,,,
MAP-customers-11,customers,home_postcode,,,,,,
MAP-customers-12,customers,home_state,,,,,,
MAP-customers-13,customers,home_country,,,,,,
MAP-customers-14,customers,preferred_language,,,,,,
MAP-customers-15,customers,acquisition_source,,,,,,
MAP-customers-16,customers,account_status,,,,,,
MAP-customers-17,customers,preferred_device,,,,,,
MAP-customers-18,customers,email_domain,,,,,,
MAP-customers-19,customers,household_size_band,,,,,,
MAP-customers-20,customers,contact_frequency_preference,,,,,,
MAP-deliveries-01,deliveries,delivery_id,,,,,,
MAP-deliveries-02,deliveries,order_id,,,,,,
MAP-deliveries-03,deliveries,dispatch_date,,,,,,
MAP-deliveries-04,deliveries,promised_date,,,,,,
MAP-deliveries-05,deliveries,delivered_date,,,,,,
MAP-deliveries-06,deliveries,carrier,,,,,,
MAP-deliveries-07,deliveries,service_level,,,,,,
MAP-deliveries-08,deliveries,delivery_status,,,,,,
MAP-deliveries-09,deliveries,delay_days,,,,,,
MAP-deliveries-10,deliveries,on_time_in_full,,,,,,
MAP-deliveries-11,deliveries,fulfilment_hours,,,,,,
MAP-deliveries-12,deliveries,delivery_cost,,,,,,
MAP-deliveries-13,deliveries,delay_reason,,,,,,
MAP-deliveries-14,deliveries,promised_days,,,,,,
MAP-deliveries-15,deliveries,tracking_event_count,,,,,,
MAP-deliveries-16,deliveries,delivery_window,,,,,,
MAP-deliveries-17,deliveries,shipping_distance_km,,,,,,
MAP-deliveries-18,deliveries,signature_required,,,,,,
MAP-deliveries-19,deliveries,estimated_carbon_kg,,,,,,
MAP-deliveries-20,deliveries,delivery_note_clean,,,,,,
MAP-products-01,products,product_id,,,,,,
MAP-products-02,products,product_name,,,,,,
MAP-products-03,products,category,,,,,,
MAP-products-04,products,brand,,,,,,
MAP-products-05,products,unit_price,,,,,,
MAP-products-06,products,unit_cost,,,,,,
MAP-products-07,products,launch_year,,,,,,
MAP-products-08,products,warranty_months,,,,,,
MAP-products-09,products,weight_kg,,,,,,
MAP-products-10,products,product_sku,,,,,,
MAP-products-11,products,subcategory,,,,,,
MAP-products-12,products,model_family,,,,,,
MAP-products-13,products,colour,,,,,,
MAP-products-14,products,supplier_id,,,,,,
MAP-products-15,products,supplier_country,,,,,,
MAP-products-16,products,launch_date,,,,,,
MAP-products-17,products,tax_category,,,,,,
MAP-products-18,products,package_type,,,,,,
MAP-products-19,products,recyclable_packaging,,,,,,
MAP-products-20,products,active_flag,,,,,,
MAP-products-21,products,product_description_clean,,,,,,
MAP-product_reviews-01,product_reviews,review_id,,,,,,
MAP-product_reviews-02,product_reviews,order_id,,,,,,
MAP-product_reviews-03,product_reviews,order_item_id,,,,,,
MAP-product_reviews-04,product_reviews,product_id,,,,,,
MAP-product_reviews-05,product_reviews,customer_id,,,,,,
