"RowIndex","Prediction"
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,-1
9,1
10,-2
11,-1
12,1
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,2
21,-1
22,2
23,1
24,1
25,0
26,1
27,0
28,-1
29,0
30,0
31,2
32,0
33,1
34,-2
35,-1
36,0
37,-2
38,2
39,1
40,1
41,0
42,2
43,0
44,1
45,0
46,0
47,-1
48,1
49,0
50,1
51,1
52,0
53,0
54,0
55,-1
56,1
57,-2
58,-1
59,0
60,1
61,1
62,-1
63,-2
64,0
65,1
66,1
67,0
68,0
69,1
70,-2
71,0
72,-2
73,-1
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,0
82,0
83,-1
84,1
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,0
93,-1
94,1
95,1
