gender,income,whatIsYourHeightExpressItAsANumberInMetresM,doYouFeelASenseOfPurposeAndMeaningInYourLife104,howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki,howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends,doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded,howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV,doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer,doYouFeelASenseOfPurposeAndMeaningInYourLife105,alwaysAnxious,perfectMentalHealth,alwaysStressed,alwaysAccountableAndResponsibleForYourActions,alwaysCalm,myBodyIsHypermobileAndLovesToMove,alwaysHaveFun,alwaysSerious,alwaysDepressed,alwaysLoveAndCareForYourself,extremelyGoodAbilityToSense,alwaysHaveDigestiveProblems,iAmIntenselyInterestedInOtherPeople,iRarelyWakeUpFeelingRested,iFindMostThingsAmusing,iAmAlwaysCommittedAndInvolved,iDoNotThinkThatTheWorldIsAGoodPlace,iAmWellSatisfiedAboutEverythingInMyLife,iFindBeautyInSomeThings,iAlwaysHaveACheerfulEffectOnOthers,iFeelThatIAmNotEspeciallyInControlOfMyLife,iUsuallyHaveAGoodInfluenceOnEvents,iDontHaveFunWithOtherPeople,alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai,alwaysMakingProgress,extremelyGoodCommunicator,iDontFeelParticularlyPleasedWithTheWayIAm,iFeelThatLifeIsVeryRewarding,iHaveVeryWarmFeelingsTowardsAlmostEveryone,iAmNotParticularlyOptimisticAboutTheFuture,lifeIsGood,iLaughALot,iDontThinkILookAttractive
Male,120k - 150k,175 - 180,Yes,They are separate,Never,"Yes, I have both",At least once a month,Never,Yes,0,0,2,1,0,-2,-2,0,0,0,0,-2,1,2,2,1,2,-1,0,-2,0,-2,2,0,1,0,2,-1,0,1,-2,-1,2
Male,15k - 20k,155 - 160,Yes,They conflict,Sometimes,No,At least once a month,Never,Yes,2,-1,-1,1,2,0,0,0,-1,1,2,-2,0,-1,1,2,1,2,2,1,-2,0,-1,2,2,1,-1,2,2,-1,1,1,-2
Female,10k - 15k,165 - 170,Yes,They are separate,Rarely,"Yes, I have family",At least once a month,Never,No,-2,0,-2,1,1,2,1,0,-2,-2,1,1,0,0,1,0,-2,-2,1,2,0,0,-2,1,0,0,1,0,0,0,-2,1,1
Male,0 - 10k,170 - 175,Yes,They complement each other,Rarely,"Yes, I have both",At least once a month,Rarely,Yes,-1,2,2,1,-2,-2,0,0,-2,1,2,0,-2,1,1,1,0,-1,1,1,0,-2,-2,0,1,-2,-2,1,2,-2,2,0,0
Female,150k - 200k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have family",More than three times a week,Rarely,Yes,-1,2,1,0,-1,-2,1,1,1,0,-2,0,-2,1,1,0,1,0,1,-2,0,0,0,0,0,-2,0,1,0,-2,0,1,1
Male,150k - 200k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Rarely,Yes,2,-2,-2,2,0,2,1,-2,-2,2,1,-1,2,0,1,1,-2,1,2,0,1,1,-2,2,1,1,-2,0,0,-2,1,1,1
Male,15k - 20k,185 - 190,Yes,They conflict,Sometimes,No,At least once a week,Always,No,-1,-2,-2,2,-2,1,-1,-2,-2,-2,0,-2,-1,2,-2,0,0,0,1,-2,0,1,-2,-2,0,0,0,-2,0,-2,-2,-2,-2
Male,200k above,170 - 175,Yes,They are separate,Sometimes,"Yes, I have both",More than three times a week,Always,Yes,0,-1,-2,1,-2,-1,0,-2,-1,0,0,-1,-2,-2,2,1,0,-2,2,0,1,-2,0,1,0,-2,1,0,-2,2,1,1,-1
Male,0 - 10k,170 - 175,No,They complement each other,Sometimes,"Yes, I have both",At least once a week,Rarely,No,-1,0,0,-2,-1,-2,-1,-2,0,-2,0,-2,0,0,0,-1,0,-1,1,0,0,-2,-1,-2,-2,-2,-1,0,0,-2,-2,1,-2
Male,120k - 150k,185 - 190,Yes,They are separate,Rarely,"Yes, I have both",More than three times a week,Always,Yes,0,1,0,0,-1,1,1,-2,-1,0,0,0,-2,1,1,0,-1,0,0,-2,-2,1,-2,1,1,-2,-1,1,0,-1,2,2,-2
Male,80k - 120k,175 - 180,Yes,They conflict,Always,"Yes, I have family",More than three times a week,Always,Yes,1,-2,-2,2,1,1,2,-2,-2,1,0,-2,0,-1,1,0,2,0,2,0,0,0,-1,0,1,0,0,0,1,-2,1,0,-1
Other,120k - 150k,175 - 180,Yes,They complement each other,Sometimes,No,At least once a week,Always,Yes,2,-2,0,1,2,1,2,0,-1,2,0,-1,-2,-1,1,1,-1,0,1,0,-2,2,-1,2,1,0,-1,2,1,-1,2,0,-1
Male,0 - 10k,165 - 170,Yes,They are separate,Never,"Yes, I have family",At least once a month,Rarely,Yes,1,0,0,1,1,0,-2,2,-2,0,-2,-2,0,-2,-2,2,-1,0,1,1,-2,0,0,1,1,0,-2,1,1,-1,1,-2,1
