gender,income,whatIsYourHeightExpressItAsANumberInMetresM,doYouFeelASenseOfPurposeAndMeaningInYourLife104,howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki,howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends,doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded,howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV,doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer,doYouFeelASenseOfPurposeAndMeaningInYourLife105,alwaysStressed,alwaysAccountableAndResponsibleForYourActions,alwaysCalm,myBodyIsHypermobileAndLovesToMove,alwaysHaveFun,alwaysSerious,alwaysDepressed,alwaysLoveAndCareForYourself,extremelyGoodAbilityToSense,alwaysHaveDigestiveProblems,iAmIntenselyInterestedInOtherPeople,iRarelyWakeUpFeelingRested,iFindMostThingsAmusing,iAmAlwaysCommittedAndInvolved,iDoNotThinkThatTheWorldIsAGoodPlace,iAmWellSatisfiedAboutEverythingInMyLife,iFindBeautyInSomeThings,iAlwaysHaveACheerfulEffectOnOthers,iFeelThatIAmNotEspeciallyInControlOfMyLife,iUsuallyHaveAGoodInfluenceOnEvents,iDontHaveFunWithOtherPeople,alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai,alwaysMakingProgress,extremelyGoodCommunicator,iDontFeelParticularlyPleasedWithTheWayIAm,iFeelThatLifeIsVeryRewarding,iHaveVeryWarmFeelingsTowardsAlmostEveryone,iAmNotParticularlyOptimisticAboutTheFuture,lifeIsGood,iLaughALot,iDontThinkILookAttractive,happiness
Male,200k above,165 - 170,Yes,They conflict,Sometimes,"Yes, I have both",No,Never,Yes,-1,2,1,-2,-2,0,0,2,2,-1,0,-2,0,0,0,0,0,0,0,-2,0,1,2,1,-2,0,1,0,0,0,-2,16.6789
Female,200k above,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",More than three times a week,Always,Yes,-2,1,1,2,1,0,-1,0,1,-1,0,0,0,1,-2,-1,1,0,-2,2,0,2,-2,0,1,0,0,-1,0,0,-1,5.55294
Male,120k - 150k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Sometimes,Yes,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,0,1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,0,-1,-0.671391
Male,120k - 150k,175 - 180,Yes,They conflict,Rarely,"Yes, I have both",No,Always,No,1,2,-1,-2,-2,2,0,-1,0,1,0,-2,-2,1,2,-2,1,-2,2,0,-2,-2,-2,0,1,-2,0,0,-2,-2,1,-6.00913
Male,80k - 120k,175 - 180,Yes,They conflict,Sometimes,"Yes, I have friends",Rarely,Never,Yes,1,1,-1,0,-1,1,0,-1,1,0,0,0,-1,1,1,-2,1,-2,1,-1,0,-1,0,0,1,0,0,0,-1,-2,1,14.143
Male,80k - 120k,170 - 175,Yes,They are separate,Sometimes,"Yes, I have both",No,Always,Yes,-1,2,2,1,2,-1,-1,2,1,1,-2,0,1,2,-1,2,1,1,-2,0,-1,1,2,1,-2,2,2,1,2,1,0,39.8761
Female,20k - 50k,155 - 160,Yes,They are separate,Sometimes,"Yes, I have family",Rarely,Sometimes,Yes,-1,0,0,1,0,-2,-2,-2,1,-2,2,-2,0,0,-2,-2,0,0,2,0,-1,-2,0,0,1,0,0,-1,-2,1,0,17.31
Male,120k - 150k,175 - 180,Yes,They conflict,Never,"Yes, I have both",At least once a month,Never,No,1,0,2,1,0,0,1,-1,2,-2,-2,1,1,0,1,-1,0,-2,1,-1,-1,-2,0,0,1,-2,0,1,0,0,0,-3.1074
Male,50k - 80k,175 - 180,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,Yes,-2,1,0,0,0,-1,-1,-2,0,-1,-1,0,-2,0,0,-1,1,-2,0,0,1,0,0,-2,0,1,-1,-1,1,-1,0,12.5322
Female,15k - 20k,155 - 160,Yes,They complement each other,Never,"Yes, I have both",At least once a month,Never,Yes,-1,2,1,2,1,-1,-2,2,2,0,2,0,0,-2,-1,1,1,2,-2,1,-1,0,2,1,-1,1,1,0,1,2,0,21.8873
